| end of split  11 / 18 | epoch   6 | time: 10.22s | valid loss  2.57 | valid ppl    13.10 | learning rate 5.0000
| end of split  12 / 18 | epoch   6 | time:  8.88s | valid loss  2.56 | valid ppl    12.96 | learning rate 5.0000
| end of split  13 / 18 | epoch   6 | time:  9.36s | valid loss  2.56 | valid ppl    12.98 | learning rate 5.0000
| end of split  14 / 18 | epoch   6 | time:  9.27s | valid loss  2.56 | valid ppl    12.88 | learning rate 5.0000
| end of split  15 / 18 | epoch   6 | time:  7.37s | valid loss  2.56 | valid ppl    12.90 | learning rate 5.0000
| end of split  16 / 18 | epoch   6 | time:  7.42s | valid loss  2.55 | valid ppl    12.80 | learning rate 5.0000
| end of split  17 / 18 | epoch   6 | time:  9.50s | valid loss  2.54 | valid ppl    12.72 | learning rate 5.0000
| end of split  18 / 18 | epoch   6 | time:  6.44s | valid loss  2.56 | valid ppl    12.89 | learning rate 5.0000
| end of split   1 / 18 | epoch   7 | time:  8.49s | valid loss  2.54 | valid ppl    12.65 | learning rate 5.0000
| end of split   2 / 18 | epoch   7 | time:  7.62s | valid loss  2.54 | valid ppl    12.67 | learning rate 5.0000
| end of split   3 / 18 | epoch   7 | time:  9.36s | valid loss  2.54 | valid ppl    12.63 | learning rate 5.0000
| end of split   4 / 18 | epoch   7 | time:  7.69s | valid loss  2.53 | valid ppl    12.55 | learning rate 5.0000
| end of split   5 / 18 | epoch   7 | time:  8.78s | valid loss  2.55 | valid ppl    12.87 | learning rate 5.0000
| end of split   6 / 18 | epoch   7 | time:  7.76s | valid loss  2.56 | valid ppl    12.88 | learning rate 5.0000
| end of split   7 / 18 | epoch   7 | time:  9.03s | valid loss  2.53 | valid ppl    12.57 | learning rate 5.0000
| end of split   8 / 18 | epoch   7 | time:  6.01s | valid loss  2.54 | valid ppl    12.71 | learning rate 5.0000
| end of split   9 / 18 | epoch   7 | time:  8.57s | valid loss  2.55 | valid ppl    12.79 | learning rate 5.0000
| end of split  10 / 18 | epoch   7 | time:  9.09s | valid loss  2.52 | valid ppl    12.46 | learning rate 5.0000
| end of split  11 / 18 | epoch   7 | time:  8.07s | valid loss  2.54 | valid ppl    12.65 | learning rate 5.0000
| end of split  12 / 18 | epoch   7 | time:  9.57s | valid loss  2.51 | valid ppl    12.33 | learning rate 5.0000
| end of split  13 / 18 | epoch   7 | time:  8.31s | valid loss  2.51 | valid ppl    12.31 | learning rate 5.0000
| end of split  14 / 18 | epoch   7 | time: 11.06s | valid loss  2.54 | valid ppl    12.67 | learning rate 5.0000
| end of split  15 / 18 | epoch   7 | time:  8.39s | valid loss  2.51 | valid ppl    12.25 | learning rate 5.0000
| end of split  16 / 18 | epoch   7 | time:  7.65s | valid loss  2.49 | valid ppl    12.10 | learning rate 5.0000
| end of split  17 / 18 | epoch   7 | time:  8.32s | valid loss  2.49 | valid ppl    12.03 | learning rate 5.0000
| end of split  18 / 18 | epoch   7 | time:  8.19s | valid loss  2.50 | valid ppl    12.12 | learning rate 5.0000
| end of split   1 / 18 | epoch   8 | time:  8.14s | valid loss  2.51 | valid ppl    12.32 | learning rate 5.0000
| end of split   2 / 18 | epoch   8 | time:  8.80s | valid loss  2.49 | valid ppl    12.04 | learning rate 5.0000
| end of split   3 / 18 | epoch   8 | time: 10.14s | valid loss  2.50 | valid ppl    12.14 | learning rate 5.0000
| end of split   4 / 18 | epoch   8 | time:  7.52s | valid loss  2.52 | valid ppl    12.40 | learning rate 5.0000
| end of split   5 / 18 | epoch   8 | time:  8.90s | valid loss  2.52 | valid ppl    12.44 | learning rate 5.0000
| end of split   6 / 18 | epoch   8 | time:  7.80s | valid loss  2.47 | valid ppl    11.85 | learning rate 5.0000
| end of split   7 / 18 | epoch   8 | time:  8.73s | valid loss  2.48 | valid ppl    11.92 | learning rate 5.0000
| end of split   8 / 18 | epoch   8 | time:  5.86s | valid loss  2.49 | valid ppl    12.12 | learning rate 5.0000
| end of split   9 / 18 | epoch   8 | time:  7.58s | valid loss  2.47 | valid ppl    11.81 | learning rate 5.0000
| end of split  10 / 18 | epoch   8 | time:  7.92s | valid loss  2.46 | valid ppl    11.70 | learning rate 5.0000
| end of split  11 / 18 | epoch   8 | time:  7.64s | valid loss  2.48 | valid ppl    11.97 | learning rate 5.0000
| end of split  12 / 18 | epoch   8 | time:  9.70s | valid loss  2.45 | valid ppl    11.59 | learning rate 5.0000
| end of split  13 / 18 | epoch   8 | time:  9.21s | valid loss  2.48 | valid ppl    11.89 | learning rate 5.0000
| end of split  14 / 18 | epoch   8 | time:  7.80s | valid loss  2.43 | valid ppl    11.36 | learning rate 5.0000
| end of split  15 / 18 | epoch   8 | time:  8.57s | valid loss  2.44 | valid ppl    11.51 | learning rate 5.0000
| end of split  16 / 18 | epoch   8 | time:  9.03s | valid loss  2.44 | valid ppl    11.52 | learning rate 5.0000
| end of split  17 / 18 | epoch   8 | time:  9.14s | valid loss  2.43 | valid ppl    11.39 | learning rate 5.0000
| end of split  18 / 18 | epoch   8 | time:  9.60s | valid loss  2.42 | valid ppl    11.28 | learning rate 5.0000
| end of split   1 / 18 | epoch   9 | time:  8.83s | valid loss  2.44 | valid ppl    11.45 | learning rate 5.0000
| end of split   2 / 18 | epoch   9 | time:  7.00s | valid loss  2.45 | valid ppl    11.58 | learning rate 5.0000
| end of split   3 / 18 | epoch   9 | time:  8.85s | valid loss  2.46 | valid ppl    11.65 | learning rate 5.0000
| end of split   4 / 18 | epoch   9 | time:  9.12s | valid loss  2.42 | valid ppl    11.29 | learning rate 5.0000
| end of split   5 / 18 | epoch   9 | time:  8.01s | valid loss  2.45 | valid ppl    11.58 | learning rate 5.0000
| end of split   6 / 18 | epoch   9 | time:  8.73s | valid loss  2.42 | valid ppl    11.21 | learning rate 5.0000
| end of split   7 / 18 | epoch   9 | time:  9.45s | valid loss  2.41 | valid ppl    11.09 | learning rate 5.0000
| end of split   8 / 18 | epoch   9 | time:  8.48s | valid loss  2.41 | valid ppl    11.09 | learning rate 5.0000
| end of split   9 / 18 | epoch   9 | time:  8.74s | valid loss  2.44 | valid ppl    11.46 | learning rate 5.0000
| end of split  10 / 18 | epoch   9 | time: 11.05s | valid loss  2.41 | valid ppl    11.09 | learning rate 5.0000
| end of split  11 / 18 | epoch   9 | time: 12.45s | valid loss  2.40 | valid ppl    11.03 | learning rate 5.0000
| end of split  12 / 18 | epoch   9 | time:  8.28s | valid loss  2.39 | valid ppl    10.96 | learning rate 5.0000
| end of split  13 / 18 | epoch   9 | time:  8.80s | valid loss  2.43 | valid ppl    11.35 | learning rate 5.0000
| end of split  14 / 18 | epoch   9 | time:  9.22s | valid loss  2.40 | valid ppl    10.99 | learning rate 5.0000
| end of split  15 / 18 | epoch   9 | time:  7.95s | valid loss  2.38 | valid ppl    10.78 | learning rate 5.0000
| end of split  16 / 18 | epoch   9 | time: 10.83s | valid loss  2.38 | valid ppl    10.77 | learning rate 5.0000
| end of split  17 / 18 | epoch   9 | time:  8.57s | valid loss  2.42 | valid ppl    11.20 | learning rate 5.0000
| end of split  18 / 18 | epoch   9 | time: 10.64s | valid loss  2.41 | valid ppl    11.14 | learning rate 5.0000
| end of split   1 / 18 | epoch  10 | time: 11.62s | valid loss  2.38 | valid ppl    10.82 | learning rate 5.0000
| end of split   2 / 18 | epoch  10 | time:  9.50s | valid loss  2.40 | valid ppl    10.99 | learning rate 5.0000
| end of split   3 / 18 | epoch  10 | time:  9.83s | valid loss  2.37 | valid ppl    10.73 | learning rate 5.0000
| end of split   4 / 18 | epoch  10 | time: 11.23s | valid loss  2.36 | valid ppl    10.59 | learning rate 5.0000
| end of split   5 / 18 | epoch  10 | time: 12.21s | valid loss  2.35 | valid ppl    10.49 | learning rate 5.0000
| end of split   6 / 18 | epoch  10 | time: 11.63s | valid loss  2.35 | valid ppl    10.46 | learning rate 5.0000
| end of split   7 / 18 | epoch  10 | time: 11.71s | valid loss  2.37 | valid ppl    10.69 | learning rate 5.0000
| end of split   8 / 18 | epoch  10 | time: 11.41s | valid loss  2.36 | valid ppl    10.59 | learning rate 5.0000
| end of split   9 / 18 | epoch  10 | time: 12.34s | valid loss  2.36 | valid ppl    10.60 | learning rate 5.0000
| end of split  10 / 18 | epoch  10 | time: 11.72s | valid loss  2.36 | valid ppl    10.57 | learning rate 5.0000
| end of split  11 / 18 | epoch  10 | time: 10.82s | valid loss  2.35 | valid ppl    10.51 | learning rate 5.0000
| end of split  12 / 18 | epoch  10 | time: 11.74s | valid loss  2.38 | valid ppl    10.85 | learning rate 5.0000
| end of split  13 / 18 | epoch  10 | time: 12.63s | valid loss  2.36 | valid ppl    10.61 | learning rate 5.0000
| end of split  14 / 18 | epoch  10 | time: 10.59s | valid loss  2.35 | valid ppl    10.47 | learning rate 5.0000
| end of split  15 / 18 | epoch  10 | time:  5.90s | valid loss  2.36 | valid ppl    10.56 | learning rate 5.0000
| end of split  16 / 18 | epoch  10 | time: 10.07s | valid loss  2.35 | valid ppl    10.51 | learning rate 5.0000
| end of split  17 / 18 | epoch  10 | time:  8.18s | valid loss  2.37 | valid ppl    10.72 | learning rate 5.0000
| end of split  18 / 18 | epoch  10 | time: 10.96s | valid loss  2.32 | valid ppl    10.19 | learning rate 1.2500
TEST: valid loss  2.36 | valid ppl    10.62
| end of split   1 / 18 | epoch   1 | time: 10.31s | valid loss  3.96 | valid ppl    52.33 | learning rate 20.0000
| end of split   2 / 18 | epoch   1 | time:  7.64s | valid loss  4.53 | valid ppl    92.58 | learning rate 20.0000
| end of split   3 / 18 | epoch   1 | time:  8.00s | valid loss  3.68 | valid ppl    39.82 | learning rate 20.0000
| end of split   4 / 18 | epoch   1 | time:  9.01s | valid loss  3.44 | valid ppl    31.20 | learning rate 20.0000
| end of split   5 / 18 | epoch   1 | time:  8.61s | valid loss  3.57 | valid ppl    35.48 | learning rate 20.0000
| end of split   6 / 18 | epoch   1 | time:  7.40s | valid loss  3.44 | valid ppl    31.33 | learning rate 20.0000
| end of split   7 / 18 | epoch   1 | time:  7.37s | valid loss  3.43 | valid ppl    30.80 | learning rate 20.0000
| end of split   8 / 18 | epoch   1 | time:  6.97s | valid loss  3.37 | valid ppl    29.13 | learning rate 20.0000
| end of split   9 / 18 | epoch   1 | time:  8.54s | valid loss  3.29 | valid ppl    26.83 | learning rate 20.0000
| end of split  10 / 18 | epoch   1 | time:  5.75s | valid loss  3.21 | valid ppl    24.71 | learning rate 20.0000
| end of split  11 / 18 | epoch   1 | time:  7.87s | valid loss  3.23 | valid ppl    25.21 | learning rate 20.0000
| end of split  12 / 18 | epoch   1 | time:  7.53s | valid loss  3.15 | valid ppl    23.25 | learning rate 20.0000
| end of split  13 / 18 | epoch   1 | time:  7.10s | valid loss  3.06 | valid ppl    21.33 | learning rate 20.0000
| end of split  14 / 18 | epoch   1 | time:  7.47s | valid loss  3.14 | valid ppl    23.14 | learning rate 20.0000
| end of split  15 / 18 | epoch   1 | time:  7.59s | valid loss  3.00 | valid ppl    20.11 | learning rate 20.0000
| end of split  16 / 18 | epoch   1 | time:  7.19s | valid loss  3.01 | valid ppl    20.25 | learning rate 20.0000
| end of split  17 / 18 | epoch   1 | time:  8.05s | valid loss  3.06 | valid ppl    21.25 | learning rate 20.0000
| end of split  18 / 18 | epoch   1 | time:  6.90s | valid loss  2.91 | valid ppl    18.29 | learning rate 20.0000
| end of split   1 / 18 | epoch   2 | time:  6.64s | valid loss  2.89 | valid ppl    17.98 | learning rate 20.0000
| end of split   2 / 18 | epoch   2 | time:  7.39s | valid loss  2.83 | valid ppl    16.91 | learning rate 20.0000
| end of split   3 / 18 | epoch   2 | time:  7.16s | valid loss  2.81 | valid ppl    16.62 | learning rate 20.0000
| end of split   4 / 18 | epoch   2 | time:  8.06s | valid loss  2.85 | valid ppl    17.21 | learning rate 20.0000
| end of split   5 / 18 | epoch   2 | time:  7.83s | valid loss  2.84 | valid ppl    17.13 | learning rate 20.0000
| end of split   6 / 18 | epoch   2 | time:  5.52s | valid loss  2.76 | valid ppl    15.79 | learning rate 20.0000
| end of split   7 / 18 | epoch   2 | time:  7.37s | valid loss  2.71 | valid ppl    15.07 | learning rate 20.0000
| end of split   8 / 18 | epoch   2 | time:  7.31s | valid loss  2.69 | valid ppl    14.71 | learning rate 20.0000
| end of split   9 / 18 | epoch   2 | time:  7.89s | valid loss  2.67 | valid ppl    14.50 | learning rate 20.0000
| end of split  10 / 18 | epoch   2 | time:  7.51s | valid loss  2.66 | valid ppl    14.23 | learning rate 20.0000
| end of split  11 / 18 | epoch   2 | time:  7.18s | valid loss  2.70 | valid ppl    14.86 | learning rate 20.0000
| end of split  12 / 18 | epoch   2 | time:  8.57s | valid loss  2.74 | valid ppl    15.45 | learning rate 20.0000
| end of split  13 / 18 | epoch   2 | time:  8.06s | valid loss  2.58 | valid ppl    13.21 | learning rate 20.0000
| end of split  14 / 18 | epoch   2 | time:  6.97s | valid loss  2.69 | valid ppl    14.78 | learning rate 20.0000
| end of split  15 / 18 | epoch   2 | time:  7.29s | valid loss  2.63 | valid ppl    13.85 | learning rate 20.0000
| end of split  16 / 18 | epoch   2 | time:  7.66s | valid loss  2.52 | valid ppl    12.45 | learning rate 20.0000
| end of split  17 / 18 | epoch   2 | time:  7.26s | valid loss  2.52 | valid ppl    12.42 | learning rate 20.0000
| end of split  18 / 18 | epoch   2 | time:  7.73s | valid loss  2.63 | valid ppl    13.82 | learning rate 20.0000
| end of split   1 / 18 | epoch   3 | time:  6.71s | valid loss  2.53 | valid ppl    12.53 | learning rate 20.0000
| end of split   2 / 18 | epoch   3 | time:  7.19s | valid loss  2.45 | valid ppl    11.59 | learning rate 20.0000
| end of split   3 / 18 | epoch   3 | time:  7.05s | valid loss  2.49 | valid ppl    12.02 | learning rate 20.0000
| end of split   4 / 18 | epoch   3 | time:  7.39s | valid loss  2.53 | valid ppl    12.49 | learning rate 20.0000
| end of split   5 / 18 | epoch   3 | time:  7.49s | valid loss  2.39 | valid ppl    10.87 | learning rate 20.0000
| end of split   6 / 18 | epoch   3 | time:  7.44s | valid loss  2.41 | valid ppl    11.15 | learning rate 20.0000
